 Foote_Samuel	historical_people
 OKeefe	historical_people
 Dibdin_TJ	historical_people
 Congreve_Wm	historical_people
 Moliere	historical_people
 Landon_LE	historical_people
 Lamb_Caro	historical_people
 Kemble_Frances	historical_people
 Kemble_JP	historical_people
 Bannister_Jack	historical_people
 Johnstone_Jack	historical_people
 Fawcett_John	historical_people
 Emery_John	historical_people
 Lewis_William_Thomas	historical_people
 Munden_Joseph_Shepherd	historical_people
 Davenport_MA	historical_people
 Pope_Jane	historical_people
 Jordan_Dorothea	historical_people
 Garrick_David	historical_people
 Siddons_Sarah	historical_people
 Macbeth_Lady	fictional_and_archetypal
 Katharine_H8	fictional_and_archetypal
 Wolsey_H8	fictional_and_archetypal
 Hermione_WT	fictional_and_archetypal
 Leontes_WT	fictional_and_archetypal
 Coriolanus_C	fictional_and_archetypal
 Volumnia_C	fictional_and_archetypal
 Hamlet_H	fictional_and_archetypal
 Queen_Hamlet	fictional_and_archetypal
 Canning_George	historical_people
 Thackeray_TJ	historical_people
 Penruddock_WF	fictional_and_archetypal
 Rolla_P	fictional_and_archetypal
 Abbe_de_L_Epee_DD	fictional_and_archetypal
 Racine	historical_people
 d_Aubigné_Françoise	historical_people
 Lamb_Chas	historical_people
 Webster_John	historical_people
 Marlowe_Chris	historical_people
 Dekker_Thos	historical_people
 Ford_John	historical_people
 Imogen_C	fictional_and_archetypal
 JamesI	historical_people
 Helen_H	fictional_and_archetypal
 Antigone_A	fictional_and_archetypal
 Brumoy_Pierre	historical_people
 Alfieri_Vittorio	historical_people
 Master_Betty	historical_people
 ONeill_Eliz	historical_people
 Duncan_MR	historical_people
 Collins_little	historical_people
 Gifford_William	historical_people
 Warde_Mr	historical_people
 Serle_TJ	historical_people
 Sloman_Mrs	historical_people
 Forbes_Capt	historical_people
 Liston_John	historical_people
 Melfi	fictional_and_archetypal
 Franklin_Eleanor	historical_people
 Franklin_John	historical_people
 Gibbon_Edward	historical_people
 Berengaria	historical_people
 RichardI	historical_people
 Baillie_Joanna	historical_people
 Hemans_Felicia	historical_people
 ChasI	historical_people
 Cromwell	historical_people
 Duke_of_Devonshire	historical_people
 Jerrold_Doug	historical_people
 Radcliffe_Ann	historical_people
 Ulric_O	fictional_and_archetypal
 Hengo_B	fictional_and_archetypal
 Hood_Thos	historical_people
 Praed_Winthrop	historical_people
 Pierce_G	fictional_and_archetypal
 HowardBrenton	historical_people
 Horace	historical_people
 Broghill	historical_people
 Marten	fictional_and_archetypal
 Queen_Ch1	fictional_and_archetypal
 LadyFairfax	fictional_and_archetypal
 Harrison	fictional_and_archetypal
 Henry_V	historical_people
 Salisbury	fictional_and_archetypal
 Say	fictional_and_archetypal
 Vane	fictional_and_archetypal
 Ireton	fictional_and_archetypal
