"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","Node-1-Attributes","Node-2-Attributes","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"306","2.45146379","0.00218889","0.40791955","0.0","66","4","false"," Palmer_CF","53.70833333",,,"66","0","13","0.70970724","false","0"," Palmer_CF","368666","0.18050799"
"318","2.3990755","0.00151899","0.41682723","0.0","49","4","false"," Palmer_Mad","68.76470588",,,"49","0","9","0.7201849","false","0"," Palmer_Mad","324786","0.20979785"
"331","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Dickinson_Daughter","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","Dickinson_Daughter","92252","0.18345229"
"334","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Dickinson_Grandmama","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","Dickinson_Grandmama","92252","0.18345229"
"336","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Dickinson_Nurse","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","Dickinson_Nurse","92252","0.18345229"
"338","2.40215716","0.00694388","0.4162925","0.0","66","4","false","Cupid","47.140625","fictional_and_archetypal","fictional_and_archetypal","66","0","2","0.71956857","false","0","Cupid","1561814","0.15801584"
"340","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Sinclair_SrJohn","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","Sinclair_SrJohn","92252","0.18345229"
"342","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Butler_Mr","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","Butler_Mr","92252","0.18345229"
"345","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Weyland_John","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","Weyland_John","92252","0.18345229"
"347","2.2788906","0.00851123","0.43881001","0.0","109","4","false","Monck_JB","56.15068493","historical_people","historical_people","109","0","15","0.74422188","false","0","Monck_JB","1427536","0.17074515"
"349","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Tierney_SrMat","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","Tierney_SrMat","92252","0.18345229"
"351","2.49152542","0.00110292","0.40136054","0.0","39","4","false","GeoIV","51.8","historical_people","historical_people","39","0","4","0.70169492","false","0","GeoIV","182848","0.1739726"
"353","2.3990755","0.00216109","0.41682723","0.0","38","4","false","Smollett_Tob","54.40540541","historical_people","historical_people","38","0","1","0.7201849","false","0","Smollett_Tob","422204","0.16689189"
"355","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Bramble_Matthew","54.38461538","fictional_and_archetypal","fictional_and_archetypal","26","0","0","0.69553159","false","0","Bramble_Matthew","92252","0.18345229"
"357","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Halford_SrHen","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","Halford_SrHen","92252","0.18345229"
"359","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Rachel_Aunt","54.38461538","fictional_and_archetypal","fictional_and_archetypal","26","0","0","0.69553159","false","0","Rachel_Aunt","92252","0.18345229"
"361","2.22342065","0.02370559","0.44975745","0.0","97","3","false","Austen_Jane","49.02222222","historical_people","historical_people","97","0","6","0.75531587","false","0","Austen_Jane","4185364","0.14821674"
"363","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","de_Chaboulon","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","de_Chaboulon","92252","0.18345229"
"365","2.33127889","0.01790059","0.42894911","0.0","96","4","false","Napoleon","47.3255814","historical_people","historical_people","96","0","9","0.73374422","false","0","Napoleon","3313142","0.15810779"
"367","2.37442219","0.00218713","0.42115509","0.0","45","4","false","Murray_John","70.35714286","historical_people","historical_people","45","0","3","0.72511556","false","0","Murray_John","589294","0.214728"
"369","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Drake_Nathan","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","Drake_Nathan","92252","0.18345229"
"371","1.97688752","0.02074415","0.50584567","0.0","203","4","false","Shakespeare","96.64912281","historical_people","historical_people","203","0","23","0.8046225","false","0","Shakespeare","4579564","0.29612732"
"373","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false","Elford_MrsE","54.38461538","historical_people","historical_people","26","0","0","0.69553159","false","0","Elford_MrsE","92252","0.18345229"
"376","2.29121726","0.00595322","0.43644923","0.0","90","4","false","Russell_M","54.98550725","historical_people","historical_people","90","0","14","0.74175655","false","0","Russell_M","1108200","0.16713779"
"404","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Dickinson_Daughter","54.38461538",,,"26","0","0","0.69553159","false","0"," Dickinson_Daughter","92252","0.18345229"
"457","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Dickinson_Grandmama","54.38461538",,,"26","0","0","0.69553159","false","0"," Dickinson_Grandmama","92252","0.18345229"
"484","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Dickinson_Nurse","54.38461538",,,"26","0","0","0.69553159","false","0"," Dickinson_Nurse","92252","0.18345229"
"511","2.40215716","0.00694388","0.4162925","0.0","66","4","false"," Cupid","47.140625",,,"66","0","2","0.71956857","false","0"," Cupid","1561814","0.15801584"
"538","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Sinclair_SrJohn","54.38461538",,,"26","0","0","0.69553159","false","0"," Sinclair_SrJohn","92252","0.18345229"
"565","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Butler_Mr","54.38461538",,,"26","0","0","0.69553159","false","0"," Butler_Mr","92252","0.18345229"
"618","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Weyland_John","54.38461538",,,"26","0","0","0.69553159","false","0"," Weyland_John","92252","0.18345229"
"645","2.2788906","0.00851123","0.43881001","0.0","109","4","false"," Monck_JB","56.15068493",,,"109","0","15","0.74422188","false","0"," Monck_JB","1427536","0.17074515"
"672","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Tierney_SrMat","54.38461538",,,"26","0","0","0.69553159","false","0"," Tierney_SrMat","92252","0.18345229"
"699","2.49152542","0.00110292","0.40136054","0.0","39","4","false"," GeoIV","51.8",,,"39","0","4","0.70169492","false","0"," GeoIV","182848","0.1739726"
"726","2.3990755","0.00216109","0.41682723","0.0","38","4","false"," Smollett_Tob","54.40540541",,,"38","0","1","0.7201849","false","0"," Smollett_Tob","422204","0.16689189"
"753","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Bramble_Matthew","54.38461538",,,"26","0","0","0.69553159","false","0"," Bramble_Matthew","92252","0.18345229"
"780","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Halford_SrHen","54.38461538",,,"26","0","0","0.69553159","false","0"," Halford_SrHen","92252","0.18345229"
"807","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Rachel_Aunt","54.38461538",,,"26","0","0","0.69553159","false","0"," Rachel_Aunt","92252","0.18345229"
"834","2.22342065","0.02370559","0.44975745","0.0","97","3","false"," Austen_Jane","49.02222222",,,"97","0","6","0.75531587","false","0"," Austen_Jane","4185364","0.14821674"
"861","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," de_Chaboulon","54.38461538",,,"26","0","0","0.69553159","false","0"," de_Chaboulon","92252","0.18345229"
"888","2.33127889","0.01790059","0.42894911","0.0","96","4","false"," Napoleon","47.3255814",,,"96","0","9","0.73374422","false","0"," Napoleon","3313142","0.15810779"
"915","2.37442219","0.00218713","0.42115509","0.0","45","4","false"," Murray_John","70.35714286",,,"45","0","3","0.72511556","false","0"," Murray_John","589294","0.214728"
"942","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Drake_Nathan","54.38461538",,,"26","0","0","0.69553159","false","0"," Drake_Nathan","92252","0.18345229"
"969","1.97688752","0.02074415","0.50584567","0.0","203","4","false"," Shakespeare","96.64912281",,,"203","0","23","0.8046225","false","0"," Shakespeare","4579564","0.29612732"
"996","2.52234206","4.0726E-4","0.39645693","0.0","26","4","false"," Elford_MrsE","54.38461538",,,"26","0","0","0.69553159","false","0"," Elford_MrsE","92252","0.18345229"
"1049","2.29121726","0.00595322","0.43644923","0.0","90","4","false"," Russell_M","54.98550725",,,"90","0","14","0.74175655","false","0"," Russell_M","1108200","0.16713779"
"1076","2.54391371","9.4107E-4","0.39309509","0.0","33","5","false","Daphne","65.44","historical_people","historical_people","33","0","5","0.69121726","false","0","Daphne","158518","0.22531469"
"1079","2.54391371","9.4107E-4","0.39309509","0.0","33","5","false"," Daphne","65.44",,,"33","0","5","0.69121726","false","0"," Daphne","158518","0.22531469"
"1086","2.52542373","6.2505E-4","0.39597315","0.0","29","4","false","Queen_Caroline","59.45833333","historical_people","historical_people","29","0","5","0.69491525","false","0","Queen_Caroline","120896","0.20019977"
"1089","2.58089368","1.7348E-4","0.38746269","0.0","13","4","false","Monck_Mrs","55.0","historical_people","historical_people","13","0","0","0.68382126","false","0","Monck_Mrs","29456","0.18947368"
"1092","2.58089368","1.7348E-4","0.38746269","0.0","13","4","false","Fox_ChasJ","55.0","historical_people","historical_people","13","0","0","0.68382126","false","0","Fox_ChasJ","29456","0.18947368"
"1095","2.58089368","1.7348E-4","0.38746269","0.0","13","4","false","Liston_SarahT","55.0","historical_people","historical_people","13","0","0","0.68382126","false","0","Liston_SarahT","29456","0.18947368"
"1097","2.58089368","1.7348E-4","0.38746269","0.0","13","4","false","Queen_Dollalolla","55.0","fictional_and_archetypal","fictional_and_archetypal","13","0","0","0.68382126","false","0","Queen_Dollalolla","29456","0.18947368"
"1099","2.58089368","1.7348E-4","0.38746269","0.0","13","4","false","Pius7_Pope","55.0","historical_people","historical_people","13","0","0","0.68382126","false","0","Pius7_Pope","29456","0.18947368"
"1129","2.52542373","6.2505E-4","0.39597315","0.0","29","4","false"," Queen_Caroline","59.45833333",,,"29","0","5","0.69491525","false","0"," Queen_Caroline","120896","0.20019977"
"1156","2.58089368","1.7348E-4","0.38746269","0.0","13","4","false"," Monck_Mrs","55.0",,,"13","0","0","0.68382126","false","0"," Monck_Mrs","29456","0.18947368"
"1183","2.58089368","1.7348E-4","0.38746269","0.0","13","4","false"," Fox_ChasJ","55.0",,,"13","0","0","0.68382126","false","0"," Fox_ChasJ","29456","0.18947368"
"1210","2.58089368","1.7348E-4","0.38746269","0.0","13","4","false"," Liston_SarahT","55.0",,,"13","0","0","0.68382126","false","0"," Liston_SarahT","29456","0.18947368"
"1224","2.58089368","1.7348E-4","0.38746269","0.0","13","4","false"," Queen_Dollalolla","55.0",,,"13","0","0","0.68382126","false","0"," Queen_Dollalolla","29456","0.18947368"
"1238","2.58089368","1.7348E-4","0.38746269","0.0","13","4","false"," Pius7_Pope","55.0",,,"13","0","0","0.68382126","false","0"," Pius7_Pope","29456","0.18947368"
"1281","2.10015408","0.00409977","0.47615554","0.0","133","4","false","Edgeworth_Maria","116.24427481","historical_people","historical_people","133","0","2","0.77996918","false","0","Edgeworth_Maria","1148610","0.35679342"
"1284","2.51309707","6.777E-4","0.39791539","0.0","34","4","false","Oldbuck_Jonathan","74.46428571","fictional_and_archetypal","fictional_and_archetypal","34","0","6","0.69738059","false","0","Oldbuck_Jonathan","224476","0.25159002"
"1286","2.55007704","1.9125E-4","0.39214502","0.0","16","4","false","Edie_Ochiltree","73.5","fictional_and_archetypal","fictional_and_archetypal","16","0","0","0.68998459","false","0","Edie_Ochiltree","56344","0.24828767"
